query,tweet_date,username,name,text,url,translated_text,CLASSIFICACAO
Morbius trailer,28 Feb 2022,@MZilla1954,M Zilla1954,Just saw the final trailer for #Morbius and oh man as a #SpiderMan fan this movie is going to be damn freaking good 👏👏👏,https://nitter.net/MZilla1954/status/1498439044765790211#m,Just saw the final trailer for #Morbius and oh man as a #SpiderMan fan this movie is going to be damn freaking good 👏👏👏,1
Morbius trailer,28 Feb 2022,@TrailersPlayHD,Trailers Playground HD,Morbius - Official® Trailer 2 [HD] piped.video/xasn6OSwMTQ via @YouTube,https://nitter.net/TrailersPlayHD/status/1498438509266452481#m,Morbius - Official® Trailer 2 [HD] piped.video/xasn6OSwMTQ via @YouTube,0
Morbius trailer,28 Feb 2022,@Gamemasmx,Gamemásmx,Ve el tráiler final de Morbius que pronto llegará a cines. #Morbius #sonypictures #Marvel gamemasmx.blogspot.com/2022/…,https://nitter.net/Gamemasmx/status/1498436998952108037#m,Watch the final trailer for Morbius that will soon hit theaters. #Morbius #sonypictures #Marvel gamemasmx.blogspot.com/2022/…,0
Morbius trailer,28 Feb 2022,@sopitas,Sopitas,"¡Poor fin! Luego de mucha espera, ya tenemos el tráiler final de ‘Morbius’ con Jared Leto. Acá te lo compartimos 🙌🎞️ sopitas.com/entretenimiento/…",https://nitter.net/sopitas/status/1498436853904683008#m,"Poor end! After much waiting, we already have the final trailer for 'Morbius' with Jared Leto. Here we share it with you 🙌🎞️ sopitas.com/entretenimiento/…",0
Morbius trailer,28 Feb 2022,@zonafreakextra,ZONA FREAK 💥🍿,"Nuevamente tuvimos TRAILER de MORBIUS. Y nuevamente, los microsegundos de Keaton me dan más HYPE que todo el resto. ¿Qué opinan? piped.video/watch?v=o7eey-YJ… Su RT ayuda un monton.",https://nitter.net/zonafreakextra/status/1498436615584325636#m,"Again we had TRAILER of MORBIUS. And again, Keaton's microseconds give me more HYPE than all the rest. What do you think? piped.video/watch?v=o7eey-YJ… Your RT helps a lot.",0
Morbius trailer,28 Feb 2022,@kmax_chicago,K Max,#Movies2022 #Marvel #MORBIUS - Final Trailer (HD) piped.video/SQK-QxxtE8Y via @YouTube,https://nitter.net/kmax_chicago/status/1498436103833108480#m,#Movies2022 #Marvel #MORBIUS - Final Trailer (HD) piped.video/SQK-QxxtE8Y via @YouTube,0
Morbius trailer,28 Feb 2022,@965Wave,Wave FM 96.5,"Jared Leto is ""Morbius"" in Final Trailer for the Marvel Characters Debut #trending #wavefm bit.ly/3tgrnJU",https://nitter.net/965Wave/status/1498435612763770885#m,"Jared Leto is ""Morbius"" in Final Trailer for the Marvel Characters Debut #trending #wavefm bit.ly/3tgrnJU",0
Morbius trailer,28 Feb 2022,@End_Frontiers,Jed Morgan | The Endless Frontiers,Going live @ 7PM EST for Hollywood University to talk #TheBatman #GalacticStarcruiser #ironheart #Morbius trailer and the #FantasticBeasts trailer piped.video/fRMCb9rStRw,https://nitter.net/End_Frontiers/status/1498435568291643395#m,Going live @ 7PM EST for Hollywood University to talk #TheBatman #GalacticStarcruiser #ironheart #Morbius trailer and the #FantasticBeasts trailer piped.video/fRMCb9rStRw,0
Morbius trailer,28 Feb 2022,@893lafm,893LAFM,"Jared Leto is ""Morbius"" in Final Trailer for the Marvel Characters Debut #entertainment #lafm bit.ly/3M7TqUv",https://nitter.net/893lafm/status/1498435364708499456#m,"Jared Leto is ""Morbius"" in Final Trailer for the Marvel Characters Debut #entertainment #lafm bit.ly/3M7TqUv",0
Morbius trailer,28 Feb 2022,@couponlance,Couponlance,Final trailer of Jared Leto’s ‘Morbius’ is out: ‘Let go of what you used to be. Discover who you’re meant to be’ | English Movie News news.couponlance.com/final-t…,https://nitter.net/couponlance/status/1498434797114466314#m,Final trailer of Jared Leto’s ‘Morbius’ is out: ‘Let go of what you used to be. Discover who you’re meant to be’ | English Movie News news.couponlance.com/final-t…,0
Morbius trailer,28 Feb 2022,@JuancaScreams,Juan Camilo Ortiz,Ya prendí directo en @TwitchLatam hoy hablamos de la película #TheBatman trailer de #morbius y jugamos #Cyberpunk2077 te espero acá ya Twitch.tv/juancascreams,https://nitter.net/JuancaScreams/status/1498434766630174723#m,I already turned on live on @TwitchLatam today we talked about the movie #TheBatman trailer for #morbius and we played #Cyberpunk2077 I'll wait for you here Twitch.tv/juancascreams,0
Morbius trailer,28 Feb 2022,@Brando46620993,PelisOfficial,#Sony:piped.video/watch?v=SYOePdCZ… ya salío el tráiler final de Morbius,https://nitter.net/Brando46620993/status/1498434693007654919#m,#Sony:piped.video/watch?v=SYOePdCZ… the final trailer for Morbius is out,0
Morbius trailer,28 Feb 2022,@Snowx2k5,SnowX2K5,Morbius - Final #Trailer - Exclusively At Cinemas March 31 piped.video/RYw1RzwrClc via @YouTube #Marvel,https://nitter.net/Snowx2k5/status/1498434517442433024#m,Morbius - Final #Trailer - Exclusively At Cinemas March 31 piped.video/RYw1RzwrClc via @YouTube #Marvel,0
Morbius trailer,28 Feb 2022,@streamingthings,streaming things,"Confiram o trailer final de Morbius, filme estrelado por Jared Leto. Na trama, o bioquímico tenta descobrir a cura para um doença sanguínea e se transforma em vampiro durante um experimento. Estreia: 1º de abril.",https://nitter.net/streamingthings/status/1498434268137197577#m,"Check out the final trailer for Morbius, a film starring Jared Leto. In the plot, the biochemist tries to discover a cure for a blood disease and transforms into a vampire during an experiment. Premiere: April 1st.",0
Morbius trailer,28 Feb 2022,@bsmithh91,Steve Rodgers,Including that new morbius trailer that just dropped,https://nitter.net/bsmithh91/status/1498433845401636865#m,Including that new morbius trailer that just dropped,0
Morbius trailer,28 Feb 2022,@FeRRyCyberLG,Ƒ̷ΞⱤ̷Ɽ̷Ɏ̷,MORBIUS. Tráiler Final HD en español. En cines 1 de abril. piped.video/SYOePdCZfqM a través de @YouTube,https://nitter.net/FeRRyCyberLG/status/1498433593848250371#m,MORBIUS. Final HD Trailer in Spanish. In theaters April 1. piped.video/SYOePdCZfqM via @YouTube,0
Morbius trailer,28 Feb 2022,@geekyhijynx,GeekyHiJynx,Come and check out my latest reaction to Morbius!! Morbius Final Trailer REACTION!!! piped.video/kHQQwJ64uyc via @YouTube,https://nitter.net/geekyhijynx/status/1498433396091019266#m,Come and check out my latest reaction to Morbius!! Morbius Final Trailer REACTION!!! piped.video/kHQQwJ64uyc via @YouTube,0
Morbius trailer,28 Feb 2022,@zonafreakextra,ZONA FREAK 💥🍿,Nuevo Video!!! EL BUITRE recluta a MORBIUS para los SEIS SINIESTROS? | Trailer final de... piped.video/o7eey-YJ8xM a través de @YouTube,https://nitter.net/zonafreakextra/status/1498433237257015297#m,New Video!!! THE VULTURE recruits MORBIUS for the SINISTER SIX? | Final trailer for... piped.video/o7eey-YJ8xM via @YouTube,0
Morbius trailer,28 Feb 2022,@Vyral_News_,VyralNews,Mira el tráiler de la cinta del enigmático antihéroe #Morbius con Jared Leto vyral-news.com/2022/02/28/tr…,https://nitter.net/Vyral_News_/status/1498433079211278338#m,Watch the trailer for the film of the enigmatic antihero #Morbius with Jared Leto vyral-news.com/2022/02/28/tr…,0
Morbius trailer,28 Feb 2022,@mithile90321049,mithilesh kumar,Final trailer of Jared Leto’s ‘Morbius’ is out: ‘Let go of what you used to be. Discover who you’re meant to be’ | English Movie News indiatechnews.xyz/final-trai…,https://nitter.net/mithile90321049/status/1498433002967375880#m,Final trailer of Jared Leto’s ‘Morbius’ is out: ‘Let go of what you used to be. Discover who you’re meant to be’ | English Movie News indiatechnews.xyz/final-trai…,0
Morbius trailer,28 Feb 2022,@p1a55e,Marcel Plasse,Trailer de “Morbius” destaca aparição do Abutre pipocamoderna.com.br/2022/02…,https://nitter.net/p1a55e/status/1498432891902169090#m,Trailer for “Morbius” highlights appearance of the Vulture pipocamoderna.com.br/2022/02…,0
Morbius trailer,28 Feb 2022,@trailerrankings,Movie Trailer Rankings,Why the Final Trailer for '#Morbius' SCREAMS! #MorbiusTrailerReaction #movietrailers #movietrailerrankings #trailerreactions #filmmaking #editing piped.video/gVUUh8Kbl2o,https://nitter.net/trailerrankings/status/1498432850319794182#m,Why the Final Trailer for '#Morbius' SCREAMS! #MorbiusTrailerReaction #movietrailers #movietrailerrankings #trailerreactions #filmmaking #editing piped.video/gVUUh8Kbl2o,0
Morbius trailer,28 Feb 2022,@Pipoca_Moderna,Pipoca Moderna,Trailer de “Morbius” destaca aparição do Abutre pipocamoderna.com.br/2022/02…,https://nitter.net/Pipoca_Moderna/status/1498432846574276613#m,Trailer for “Morbius” highlights appearance of the Vulture pipocamoderna.com.br/2022/02…,0
Morbius trailer,1 Mar 2022,@creatusam,sam 📖 📼,trailer de #Morbius agoraa,https://nitter.net/creatusam/status/1498809665341300741#m,#Morbius agoraa trailer,0
Morbius trailer,1 Mar 2022,@KillerMari0,KillerMARI0 🐎🪽,"¡WICCAN Y SPEED EN DOCTOR STRANGE 2! Doctor Doom Illuminati, Trailer Morbius, Mejoraran No Way Home! piped.video/Rxu_myzQRpg a través de @YouTube #Marvel #Memes #DoctorStrange2",https://nitter.net/KillerMari0/status/1498807718664146952#m,"¡WICCAN Y SPEED EN DOCTOR STRANGE 2! Doctor Doom Illuminati, Trailer Morbius, Mejoraran No Way Home! piped.video/Rxu_myzQRpg a través de @YouTube #Marvel #Memes #DoctorStrange2",0
Morbius trailer,1 Mar 2022,@Kpunga_,Kpunga 🥁🎶,"eu gostei demais do novo trailer do Morbius, parece que o filme vai ser bom demais ein",https://nitter.net/Kpunga_/status/1498806939735760897#m,"I really liked the new Morbius trailer, it looks like the film is going to be really good, eh",0
Morbius trailer,1 Mar 2022,@Canal13Campeche,Canal 13 Campeche,"#Espectaculos🍿| Jared Leto está listo para convertirse en el doctor Michael Morbius, uno de los antihéroes de los cómics de Marvel que darán vida gracias a Sony Pictures en su parte que tienen del Universo Cinematográfico. #Campeche | #Noti13 canal13mexico.com/campeche/e…",https://nitter.net/Canal13Campeche/status/1498802766516416513#m,"#Shows🍿| Jared Leto is ready to become Dr. Michael Morbius, one of the antiheroes of the Marvel comics that will be brought to life thanks to Sony Pictures in their part of the Cinematographic Universe. #Campeche | #Noti13 canal13mexico.com/campeche/e…",0
Morbius trailer,1 Mar 2022,@elnuggito,Nugget,"It looks like Michael Keaton's Vulture is in ""Morbius"" uproxx.com/movies/how-is-mic…",https://nitter.net/elnuggito/status/1498797732021952515#m,"It looks like Michael Keaton's Vulture is in ""Morbius"" uproxx.com/movies/how-is-mic…",1
Morbius trailer,1 Mar 2022,@sw_jkmnr,####,Nieuwe trailer 'Morbius' zuigt ons dieper het Spider-Man Universe in filmtotaal.nl/nieuws/89496,https://nitter.net/sw_jkmnr/status/1498797473598521351#m,New trailer 'Morbius' draws us deeper into the Spider-Man Universe in filmtotaal.nl/nieuws/89496,0
Morbius trailer,1 Mar 2022,@Yarbin_gt,Yarbin,¡NUEVO AVANCE DE #MORBIUS! Tenemos el trailer final de la próxima cinta spin off de #SpiderMan protagonizada por #JaredLeto. Llega a cines este 1 de abril 🧛‍♂️,https://nitter.net/Yarbin_gt/status/1498795768244809732#m,NEW ADVANCE OF #MORBIUS! We have the final trailer for the next #SpiderMan spin off film starring #JaredLeto. Arrives in theaters this April 1st 🧛‍♂️,0
Morbius trailer,1 Mar 2022,@Gl4NTS,Gus🇦🇷,Desde ayer q estoy con que voy a ver el trailer final de morbius y siempre pasa algo o me olvido. Como se notan las ganas que tengo por ver la película,https://nitter.net/Gl4NTS/status/1498793098931015682#m,Since yesterday I've been thinking that I'm going to see the final trailer for Morbius and something always happens or I forget. How can you tell how much I want to see the movie?,0
Morbius trailer,1 Mar 2022,@cinemamoviesok,CINEMAMOVIES 🍿,Tráiler final de #Morbius. En cines el 31 de Marzo.,https://nitter.net/cinemamoviesok/status/1498792791236829189#m,#Morbius final trailer. In theaters March 31.,0
Morbius trailer,1 Mar 2022,@jessicacrnvr1,jessicacrnvr,MORBIUS - Final Trailer (HD) piped.video/SQK-QxxtE8Y via @YouTube,https://nitter.net/jessicacrnvr1/status/1498792082474950660#m,MORBIUS - Final Trailer (HD) piped.video/SQK-QxxtE8Y via @YouTube,0
Morbius trailer,1 Mar 2022,@FromPage2Screen,Stuart Bannerman,MORBIUS unleashes its Final Trailer and the film can be seen exclusively at cinemas March 31￼( @SonyPicturesUK ) piped.video/watch?v=UW4hP_X4… frompage2screen.com/2022/03/…,https://nitter.net/FromPage2Screen/status/1498791466935603202#m,MORBIUS unleashes its Final Trailer and the film can be seen exclusively at cinemas March 31￼( @SonyPicturesUK ) piped.video/watch?v=UW4hP_X4… frompage2screen.com/2022/03/…,1
Morbius trailer,1 Mar 2022,@TheRealZIG,ZIGvrt,"Another #Morbius trailer that just doesnt get me hyped at all for that movie, Sony’s definitely over estimating how much we care that Micheal Keatons Vulture is somehow showing up, wouldn’t be surprised if they’ve put all his scenes in the trailers to get some Spider-man hype",https://nitter.net/TheRealZIG/status/1498790769959784459#m,"Another #Morbius trailer that just doesnt get me hyped at all for that movie, Sony’s definitely over estimating how much we care that Micheal Keatons Vulture is somehow showing up, wouldn’t be surprised if they’ve put all his scenes in the trailers to get some Spider-man hype",1
Morbius trailer,1 Mar 2022,@TheBestDarnGirl,The Best Darn Girls,Check out the #MORBIUS final trailer #Atom: bit.ly/30ns2dD #Fandango: bit.ly/2QVgV8J #MovieTickets: bit.ly/35SzjmH piped.video/SQK-QxxtE8Y via @YouTube,https://nitter.net/TheBestDarnGirl/status/1498788411209043969#m,Check out the #MORBIUS final trailer #Atom: bit.ly/30ns2dD #Fandango: bit.ly/2QVgV8J #MovieTickets: bit.ly/35SzjmH piped.video/SQK-QxxtE8Y via @YouTube,0
Morbius trailer,1 Mar 2022,@ShainEThomas,Shain E. Thomas,MORBIUS TRAILER BREAKDOWN! Which Spiderverse Is It In? @NewRockstars @EAVoss piped.video/watch?v=kyQV-I-A…,https://nitter.net/ShainEThomas/status/1498787302390259712#m,MORBIUS TRAILER BREAKDOWN! Which Spiderverse Is It In? @NewRockstars @EAVoss piped.video/watch?v=kyQV-I-A…,0
Morbius trailer,1 Mar 2022,@RBcasting,RB Casting,"""Morbius"", il final trailer del film con Jared Leto. L'attore premio Oscar interpreta il nuovo antieroe della Marvel, il Dr. Morbius, nel film diretto da Daniel Espinosa. Al cinema dal 31 marzo. #Morbius rbcasting.com/?p=146139",https://nitter.net/RBcasting/status/1498785265934086153#m,"""Morbius"", the final trailer of the film with Jared Leto. The Oscar-winning actor plays Marvel's new antihero, Dr. Morbius, in the film directed by Daniel Espinosa. At the cinema from March 31st. #Morbius rbcasting.com/?p=146139",1
Morbius trailer,1 Mar 2022,@SangreTano,Lucas | ⊗ ᱬ La Cabaña de Sangre ᱬ ⊗,"El tráiler de Morbius que ha salido nuevo dice algo así como: “Llega una nueva leyenda de Marvel” ¿Pero qué leyenda ni qué leyenda, si no se acuerda de él ni el que lo creó? Literalmente la tía May es más leyenda de Marvel que Morbius.",https://nitter.net/SangreTano/status/1498784708355923972#m,"The new trailer for Morbius says something like: “A new Marvel legend is coming.” But what legend or what legend, if you don't remember him or the one who created him? Literally Aunt May is more of a Marvel legend than Morbius.",0
Morbius trailer,1 Mar 2022,@SCinecolon,Starlight CineColón,Dejá ir lo que solías ser. Descubrí quién estás destinado a ser. Mirá ahora el tráiler final. #Morbius en nuestra publicación anterior. Estreno 31 de Marzo en #StarlightCinemaDigital ⭐,https://nitter.net/SCinecolon/status/1498784123590172672#m,Dejá ir lo que solías ser. Discover who you are meant to be. Watch the final trailer now. #Morbius in our previous post. Premieres March 31 at #StarlightCinemaDigital ⭐,0
Morbius trailer,1 Mar 2022,@SCinecolon,Starlight CineColón,Dejá ir lo que solías ser. Descubrí quién estás destinado a ser. Mirá ahora el tráiler final. #Morbius Estreno 31 de Marzo en #StarlightCinemaDigital ⭐,https://nitter.net/SCinecolon/status/1498782493503279107#m,Let go of what you used to be. Discover who you are meant to be. Watch the final trailer now. #Morbius Premieres March 31 at #StarlightCinemaDigital ⭐,0
Morbius trailer,1 Mar 2022,@DiarioValorMx,Valor Noticias,"#ValorNoticias #Espectáculo La cinta ha sufrido modificaciones en su fecha de estreno; sin embargo, ya se difundió el último tráiler de este proyecto estelarizado por el ganador del Oscar. diariovalor.com/2022/03/01/y…",https://nitter.net/DiarioValorMx/status/1498780117211963400#m,"#ValorNoticias #Show The film has undergone changes to its release date; However, the latest trailer for this project starring the Oscar winner has already been released. diovalor.com/2022/03/01/y…",0
Morbius trailer,1 Mar 2022,@TheNaijaNerds,Naija Nerds,"Batman Appreciation In preparation for The #Batman movie coming out this week we reflect and talk about our favourite Batman stories Next week will be a big week as we be dissecting the Batman movie, that is one episode you don’t want to miss Direct link: buff.ly/3K5vDCL",https://nitter.net/TheNaijaNerds/status/1498778289837592582#m,"Batman Appreciation In preparation for The #Batman movie coming out this week we reflect and talk about our favourite Batman stories Next week will be a big week as we be dissecting the Batman movie, that is one episode you don’t want to miss Direct link: buff.ly/3K5vDCL",1
Morbius trailer,1 Mar 2022,@christen_salem,The void.,"Sony definitely changed this line from ""bat radar"" to ""echolocation"" in the final trailer. #Morbius #SSU",https://nitter.net/christen_salem/status/1498777682892447755#m,"Sony definitely changed this line from ""bat radar"" to ""echolocation"" in the final trailer. #Morbius #SSU",0
Morbius trailer,1 Mar 2022,@Daily_Express,Daily Express,How does #Morbius fit into MCU after Venom revelation? express.co.uk/entertainment/…,https://nitter.net/Daily_Express/status/1498775585967030282#m,How does #Morbius fit into MCU after Venom revelation? express.co.uk/entertainment/…,0
Morbius trailer,1 Mar 2022,@TAGMAGbe,TAGMAG,'Morbius' zal vanaf 30 maart te zien zijn in de bioscoop! 🎬 tagmag.news/feed/176335-zien…,https://nitter.net/TAGMAGbe/status/1498773399006597120#m,'Morbius' will be in cinemas from March 30! 🎬 tagmag.news/feed/176335-zien…,0
Morbius trailer,1 Mar 2022,@alissera_,Alissera,quando fui ver NWH o trailer do Morbius passou DUAS VEZES! o.O,https://nitter.net/alissera_/status/1498772995682168832#m,when I went to see NWH the Morbius trailer played TWICE! o.O,0
Morbius trailer,1 Mar 2022,@GardockiDigital,Gardocki Digital VFX,ift.tt/75hsADK,https://nitter.net/GardockiDigital/status/1498767935640412160#m,ift.tt/75hsADK,0
Morbius trailer,1 Mar 2022,@ClaroNicaragua,Claro Nicaragua,🍿 🎬 Deja ir lo que solías ser. Descubre quién estás destinado a ser. Mira el tráiler final ahora. #Morbius exclusivamente en cines este 31 de Marzo 😎 🤩.,https://nitter.net/ClaroNicaragua/status/1498765706837512193#m,🍿 🎬 Let go of what you used to be. Discover who you are meant to be. Watch the final trailer now. #Morbius exclusively in theaters this March 31st 😎 🤩.,0
Morbius trailer,1 Mar 2022,@9ja_breed,9ja Breed,MORBIUS TRAILER BREAKDOWN! Which Spiderverse Is It In? dlvr.it/SKtqXg,https://nitter.net/9ja_breed/status/1498765321317933060#m,MORBIUS TRAILER BREAKDOWN! Which Spiderverse Is It In? dlvr.it/SKtqXg,0
Morbius trailer,1 Mar 2022,@Skullnerd,AH NERD!,"Vem comigo nessa análise do Trailer Honesto final de Morbius! Vamos olhar os detalhes, pegar as referências e zoar o que tem pra ser zoado! LINK: piped.video/urs6TRkJhKk #morbius",https://nitter.net/Skullnerd/status/1498763823842533376#m,"Come with me in this analysis of the final Honest Trailer for Morbius! Let's look at the details, get the references and make fun of what has to be made fun of! LINK: piped.video/urs6TRkJhKk #morbius",0
Morbius trailer,1 Mar 2022,@OmarLandazuri29,Omar Landazuri,My reaction today when I saw that they released the Final Morbius trailer yesterday and I missed it,https://nitter.net/OmarLandazuri29/status/1498763474704416769#m,My reaction today when I saw that they released the Final Morbius trailer yesterday and I missed it,1
Morbius trailer,1 Mar 2022,@dickgraysosn,lesbian al gaib,vendo trailer de morbius,https://nitter.net/dickgraysosn/status/1498762389252149257#m,morbius trailer for sale,0
Morbius trailer,1 Mar 2022,@AngelsCorner2,Angel's Corner,"El 1 de abril llega a los cines #Morbius , nueva película de @sonypictures_es que adapta al personaje vampírico de @MarvelSpain , interpretado por @JaredLeto . Os dejo el tráiler: piped.video/SYOePdCZfqM @MarvelStudios #Marvel #SonyPictures #JaredLeto",https://nitter.net/AngelsCorner2/status/1498761810123571200#m,"#Morbius, a new film by @sonypictures_es that adapts the vampire character from @MarvelSpain, played by @JaredLeto, hits theaters on April 1. I leave you the trailer: piped.video/SYOePdCZfqM @MarvelStudios #Marvel #SonyPictures #JaredLeto",0
Morbius trailer,1 Mar 2022,@NewRockstars,New Rockstars,"Here’s our full breakdown of the final trailer for #Morbius! @eavoss takes us frame-by-frame through all of the new footage, answering your biggest questions about the film and the universe it’s set in! ⬇️⬇️⬇️ piped.video/kyQV-I-AeQU",https://nitter.net/NewRockstars/status/1498761058823061510#m,"Here’s our full breakdown of the final trailer for #Morbius! @eavoss takes us frame-by-frame through all of the new footage, answering your biggest questions about the film and the universe it’s set in! ⬇️⬇️⬇️ piped.video/kyQV-I-AeQU",1
Morbius trailer,1 Mar 2022,@AlSweenCN,Producer Al Sween,MORBIUS TRAILER BREAKDOWN! Which Spiderverse Is It In? piped.video/kyQV-I-AeQU via @YouTube,https://nitter.net/AlSweenCN/status/1498760861896392711#m,MORBIUS TRAILER BREAKDOWN! Which Spiderverse Is It In? piped.video/kyQV-I-AeQU via @YouTube,0
Morbius trailer,1 Mar 2022,@JeremiahofNY,Jeremiah,Let go of what you used to be. Discover who you’re meant to be. Watch the final trailer now. #Morbius is exclusively in movie theaters April 1.,https://nitter.net/JeremiahofNY/status/1498758941232222209#m,Let go of what you used to be. Discover who you’re meant to be. Watch the final trailer now. #Morbius is exclusively in movie theaters April 1.,1
Morbius trailer,1 Mar 2022,@anomuras,maisa,TRAILER DE MORBIUS,https://nitter.net/anomuras/status/1498758550780366850#m,TRAILER DE MORBIUS,0
